0,0	0	6
0,1	0	6
0,2	0	6
0,3	0	6
0,0	1	9
0,1	1	9
0,2	1	9
0,3	1	9
1,0	0	15
1,1	0	15
1,2	0	15
1,3	0	15
1,0	1	4
1,1	1	4
1,2	1	4
1,3	1	4
2,0	0	2
2,1	0	2
2,2	0	2
2,3	0	2
2,0	1	11
2,1	1	11
2,2	1	11
2,3	1	11
3,0	0	12
3,1	0	12
3,2	0	12
3,3	0	12
3,0	1	5
3,1	1	5
3,2	1	5
3,3	1	5
0,0	0	8
1,0	0	8
2,0	0	8
3,0	0	8
0,1	0	1
1,1	0	1
2,1	0	1
3,1	0	1
0,2	0	20
1,2	0	20
2,2	0	20
3,2	0	20
0,3	0	7
1,3	0	7
2,3	0	7
3,3	0	7
0,0	1	10
1,0	1	10
2,0	1	10
3,0	1	10
0,1	1	3
1,1	1	3
2,1	1	3
3,1	1	3
0,2	1	18
1,2	1	18
2,2	1	18
3,2	1	18
0,3	1	13
1,3	1	13
2,3	1	13
3,3	1	13
